date,x,y,effort,nsets,cpue,FEI
2015-08,-39.5,41.5,600.458312988281,14,804.142883300781,0.00420741597190499
2015-08,-38.5,41.5,328.351654052734,14,840,0.00266666407696903
2015-08,-40.5,40.5,76.2070846557617,8,618.25,0.00075614097295329
2015-08,-39.5,40.5,219.870422363281,4,698.5,0.00239842454902828
2015-08,-38.5,40.5,54.5261116027832,7,1084.71423339844,0.000178610906004906
2015-09,-43.5,45.5,13.3972225189209,2,1052.5,6.12758958595805e-05
2015-09,-44.5,43.5,21.8633327484131,4,762.5,0.000176953282789327
2015-09,-43.5,43.5,35.4348602294922,6,413.666656494141,0.000296199985314161
2015-09,-41.5,43.5,20.3286113739014,2,490,0.00111865357030183
2015-09,-32.5,43.5,34.3470840454102,3,313.333343505859,0.000166388854268007
2015-09,-49.5,42.5,49.6673622131348,5,903.200012207031,0.00034029854577966
2015-09,-46.5,42.5,29.5475006103516,3,347.333343505859,0.000210846512345597
2015-09,-44.5,42.5,32.7527770996094,14,547.142883300781,0.000128893021610565
2015-09,-43.5,42.5,77.8775024414062,14,432.928558349609,0.00205771625041962
2015-09,-42.5,42.5,113.769165039062,12,547.083312988281,0.00163495342712849
2015-09,-38.5,42.5,72.1297225952148,4,364.25,0.00023854682513047
2015-09,-37.5,42.5,48.9045829772949,12,502,0.005497005302459
2015-09,-34.5,42.5,8.60305595397949,2,439,0.000135537091409788
2015-09,-48.5,41.5,33.1433334350586,8,731.5,0.000461551768239588
2015-09,-47.5,41.5,51.0484733581543,7,847.571411132812,0.000364274223102257
2015-09,-45.5,41.5,103.810554504395,7,529.285705566406,0.000771129853092134
2015-09,-44.5,41.5,257.058319091797,16,489.125,0.00280646933242679
2015-09,-43.5,41.5,354.709167480469,8,769.375,0.00577737437561154
2015-09,-42.5,41.5,120.599723815918,4,1107.75,0.00281373178586364
2015-09,-41.5,41.5,57.5472221374512,2,717.5,0.000313205440761521
2015-09,-44.5,40.5,14.4629163742065,3,236.33332824707,0.000108261971035972
2015-09,-42.5,40.5,51.4005546569824,9,794.333312988281,0.000763680262025446
2015-09,-41.5,40.5,105.705001831055,4,1396,0.000880700361449271
2015-09,-40.5,40.5,20.1712512969971,2,458.5,0.000123815596452914
2015-09,-39.5,40.5,1.38388884067535,4,458.75,5.29553399246652e-05
2015-09,-38.5,40.5,73.9075012207031,14,554.285705566406,0.000597705831751227
2015-09,-37.5,40.5,6.69638872146606,4,544.25,0.0001146547292592
2015-09,-35.5,40.5,1.54208338260651,2,389.5,9.9698581834673e-06
2015-09,-41.5,39.5,65.5787506103516,1,2344,0.00031450396636501
2015-09,-40.5,39.5,72.2016677856445,8,892.5,0.000894479686394334
2015-09,-39.5,39.5,75.3409729003906,8,1965.5,0.00262124859727919
2015-09,-37.5,39.5,49.670970916748,12,665,0.000384779938030988
2015-09,-36.5,39.5,70.2847213745117,8,875.625,0.000551924342289567
2015-09,-41.5,38.5,52.2883338928223,2,1226.5,0.000364537816494703
2015-09,-40.5,38.5,61.1843070983887,3,2312.33325195312,0.000601675012148917
2015-09,-39.5,38.5,203.39111328125,7,2598.57153320312,0.00154769816435874
2015-09,-38.5,38.5,97.4544448852539,14,2073.71435546875,0.0022315860260278
2015-09,-35.5,38.5,24.3070831298828,3,1211.33337402344,0.000192635270650499
2015-09,-45.5,37.5,27.1952781677246,5,221.600006103516,0.00233844015747309
2015-09,-41.5,37.5,110.487083435059,5,1317.40002441406,0.000400862918468192
2015-09,-40.5,37.5,143.728607177734,25,1538.40002441406,0.00096177717205137
2015-09,-38.5,37.5,65.7638854980469,9,2213.77783203125,0.000996447284705937
2015-09,-43.5,36.5,19.8756942749023,2,564.5,7.96760432422161e-05
2015-09,-42.5,36.5,19.4238891601562,1,1724,0.000142297663842328
2015-09,-40.5,36.5,197.589721679688,17,2107,0.0013404922792688
2015-09,-34.5,36.5,59.1234741210938,6,1520,0.000479608424939215
2015-09,-33.5,36.5,135.011520385742,11,1351.09094238281,0.00332231516949832
2015-09,-32.5,36.5,45.377498626709,2,1825,0.00037882273318246
2015-09,-43.5,35.5,17.5547218322754,2,1178.5,0.000337777222739533
2015-09,-42.5,35.5,51.8161125183105,6,1263.5,0.000192879277165048
2015-09,-40.5,35.5,246.62028503418,7,3036.42846679688,0.000848245399538428
2015-09,-40.5,34.5,268.467651367188,15,2984.06665039062,0.00192598649300635
2015-09,-40.5,33.5,136.740417480469,7,1796.42858886719,0.000499273766763508
2015-09,-40.5,32.5,56.3969459533691,6,1569.33337402344,0.000417170376749709
2015-10,-42.5,42.5,13.5950002670288,3,350,7.84559160820208e-05
2015-10,-41.5,42.5,122.927505493164,4,442.5,0.00198202510364354
2015-10,-36.5,42.5,16.2851390838623,4,690,0.000568568415474147
2015-10,-35.5,42.5,18.3413887023926,3,266.666656494141,0.000196557535673492
2015-10,-43.5,41.5,156.1259765625,16,1001.5,0.000803880393505096
2015-10,-42.5,41.5,114.214447021484,6,580.166687011719,0.00148772052489221
2015-10,-41.5,41.5,40.1669425964355,6,700,0.000619608676061034
2015-10,-40.5,41.5,8.19361114501953,2,620,8.96281562745571e-05
2015-10,-38.5,40.5,25.7083339691162,2,940,0.000221880822209641
2015-10,-42.5,39.5,44.3727760314941,2,687.5,0.000231241298024543
2015-10,-41.5,39.5,37.2072219848633,2,800,0.000580351450480521
2015-10,-36.5,39.5,27.8672218322754,2,692.5,0.00016698386752978
2015-10,-35.5,39.5,19.1126384735107,2,385,0.000225170777412131
2015-10,-34.5,39.5,70.1829147338867,8,633.25,0.000417634408222511
2015-10,-42.5,38.5,74.6105575561523,2,255,0.000772956234868616
2015-10,-41.5,38.5,112.719024658203,16,620.6875,0.00117483269423246
2015-10,-34.5,38.5,28.9588890075684,4,741.5,0.0005053331842646
2015-10,-32.5,36.5,187.014312744141,9,875,0.00155370018910617
2015-10,-32.5,35.5,80.0988922119141,8,1482.875,0.000671947549562901
2015-10,-31.5,35.5,156.597229003906,11,1329.09094238281,0.00261468766257167
2015-10,-30.5,35.5,42.6555557250977,4,944.5,0.00178923306521028
2015-10,-31.5,33.5,47.5615272521973,2,279.5,0.000155797053594142
2015-11,-51.5,42.5,36.1654167175293,2,1671.5,0.00310975546017289
2015-11,-53.5,41.5,94.4993057250977,4,1725.25,0.00541714020073414
2015-11,-50.5,41.5,69.7330551147461,6,4618.16650390625,0.000470285129267722
2015-11,-49.5,41.5,44.3365287780762,3,2489,0.000300186162348837
2015-11,-48.5,41.5,105.028198242188,11,2534,0.000694696791470051
2015-11,-45.5,41.5,153.837921142578,17,1236.35290527344,0.00100593606475741
2015-11,-44.5,41.5,107.30583190918,29,1340.96557617188,0.000693752313964069
2015-11,-43.5,41.5,80.8159713745117,10,1973.30004882812,0.000524462026078254
2015-11,-42.5,41.5,50.3659706115723,8,1162.5,0.000325625442201272
2015-11,-55.5,40.5,74.0116653442383,10,4676.10009765625,0.00212134676985443
2015-11,-39.5,39.5,68.1969451904297,4,1012.75,0.00189985102042556
2015-11,-48.5,36.5,31.9258327484131,1,2695,0.000739457900635898
2015-11,-42.5,36.5,39.587776184082,14,1260.71423339844,0.000420251075411215
2015-11,-49.5,35.5,39.4266662597656,1,2695,0.000452024047262967
2015-11,-48.5,35.5,46.0213890075684,4,1163.75,0.000531173252966255
2015-11,-49.5,34.5,40.5023612976074,2,1117.5,0.000449377548648044
2015-11,-43.5,33.5,35.7090263366699,6,930.166687011719,0.000758179929107428
2015-11,-49.5,32.5,27.0433330535889,3,886,0.000292499957140535
2015-11,-49.5,31.5,20.2224998474121,2,936.5,0.000441622687503695
2015-11,-48.5,31.5,28.4544448852539,2,1655,0.000309710390865803
2015-11,-45.5,31.5,54.1526374816895,5,749.599975585938,0.00116410560440272
2015-12,-40.5,39.5,20.517915725708,6,1654.33337402344,0.000152092572534457
