date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4274,-6503,ARG,trawlers,59.002638888888889,0,3
2012-02-01,-4018,-5867,ARG,trawlers,1.4252777777777779,0,1
2012-02-01,-4018,-5928,ARG,trawlers,1.8176388888888888,0,1
2012-02-01,-4016,-5926,ARG,trawlers,0.93611111111111112,0,1
2012-02-01,-4016,-5866,ARG,trawlers,0.77347222222222223,0,1
2012-02-01,-4016,-5871,ARG,trawlers,5.2518055555555554,0,1
2012-02-01,-4016,-6162,ARG,squid_jigger,4.5501388888888883,0,1
2012-02-01,-4271,-6078,ARG,trawlers,1.4030555555555555,0,1
2012-02-01,-4270,-6078,ARG,trawlers,0.77638888888888891,0,1
2012-02-01,-4014,-6162,ARG,squid_jigger,0.76666666666666672,0,1
2012-02-01,-4525,-6198,ARG,trawlers,1.5320833333333335,1.5320833333333335,1
2012-02-01,-4779,-6382,ARG,trawlers,1.5831944444444446,0,1
2012-02-01,-4779,-6582,ARG,trawlers,1.5998611111111112,0,1
2012-02-01,-4011,-6158,ARG,squid_jigger,0.76680555555555552,0,1
2012-02-01,-4778,-6582,ARG,trawlers,2.5111111111111111,0,1
2012-02-01,-4010,-6158,ARG,squid_jigger,1.4568055555555555,0,1
2012-02-01,-4776,-6592,ARG,squid_jigger,45.10402777777778,0,2
2012-02-01,-4776,-6593,ARG,trawlers,45.301388888888887,0,2
2012-02-01,-4776,-6592,ARG,trawlers,139.48097222222225,0,6
2012-02-01,-4776,-6294,ARG,purse_seines,4.8748611111111106,0,1
2012-02-01,-4776,-6592,ARG,drifting_longlines,22.469166666666666,0,1
2012-02-01,-4776,-6591,ARG,trawlers,45.128333333333337,0,2
2012-02-01,-4776,-6591,ARG,squid_jigger,9.9720833333333339,0,1
2012-02-01,-4776,-6592,ARG,fixed_gear,22.462222222222223,0,1
2012-02-01,-4775,-6392,ARG,trawlers,0.74583333333333324,0,1
2012-02-01,-4775,-6533,ARG,drifting_longlines,5.6733333333333338,0,1
2012-02-01,-4007,-5867,ARG,trawlers,0.78055555555555556,0,1
2012-02-01,-4774,-6391,ARG,trawlers,3.8344444444444443,0,1
2012-02-01,-4518,-6247,ARG,trawlers,4.5356944444444443,0,1
2012-02-01,-4518,-6200,ARG,trawlers,6.0866666666666669,6.0866666666666669,1
2012-02-01,-4517,-6190,ARG,trawlers,0.79569444444444437,0.79569444444444437,1
2012-02-01,-4517,-6200,ARG,trawlers,2.202638888888889,2.202638888888889,1
2012-02-01,-4005,-5866,ARG,trawlers,4.5419444444444439,0,1
2012-02-01,-4516,-6190,ARG,trawlers,0.81625,0.81625,1
2012-02-01,-4004,-5847,ARG,trawlers,0.76416666666666666,0,1
2012-02-01,-4771,-6491,ARG,drifting_longlines,1.574861111111111,0,1
2012-02-01,-4771,-6413,ARG,trawlers,5.674722222222222,5.674722222222222,1
2012-02-01,-4003,-5846,ARG,trawlers,4.3026388888888887,0,1
2012-02-01,-4770,-6543,ARG,squid_jigger,5.325277777777778,0,1
2012-02-01,-4514,-6216,ARG,trawlers,0.80791666666666662,0,1
2012-02-01,-4769,-6371,ARG,trawlers,4.9029166666666661,0,1
2012-02-01,-4513,-6214,ARG,trawlers,0.77416666666666667,0,1
2012-02-01,-4768,-6451,ARG,drifting_longlines,4.5651388888888889,0,1
2012-02-01,-4767,-6524,ARG,trawlers,4.9359722222222224,0,1
2012-02-01,-4767,-6380,ARG,trawlers,3.7951388888888888,3.7951388888888888,1
2012-02-01,-4766,-6354,ARG,trawlers,2.2279166666666668,0,1
2012-02-01,-4766,-6380,ARG,trawlers,0.79055555555555557,0.79055555555555557,1
2012-02-01,-4766,-6522,ARG,trawlers,0.80555555555555558,0,1
2012-02-01,-4765,-6355,ARG,trawlers,0.77347222222222212,0,1
2012-02-01,-4765,-6409,ARG,trawlers,1.5869444444444443,0,1
2012-02-01,-4765,-6501,ARG,squid_jigger,6.425,0,1
2012-02-01,-4765,-6364,ARG,trawlers,0.81958333333333333,0,1
2012-02-01,-4765,-6365,ARG,trawlers,0.78166666666666673,0,1
2012-02-01,-4765,-6347,ARG,trawlers,2.2393055555555552,0,1
2012-02-01,-4765,-6353,ARG,drifting_longlines,7.1999999999999993,7.1999999999999993,1
2012-02-01,-4764,-6344,ARG,trawlers,1.5865277777777778,0,1
2012-02-01,-4764,-6303,ARG,purse_seines,2.4048611111111109,0,1
2012-02-01,-4764,-6349,ARG,trawlers,0.78027777777777774,0,1
2012-02-01,-4764,-6304,ARG,purse_seines,0.7927777777777778,0,1
2012-02-01,-4508,-6181,ARG,trawlers,2.4337500000000003,0,1
2012-02-01,-4508,-6183,ARG,trawlers,0.77569444444444446,0,1
2012-02-01,-4508,-6200,ARG,trawlers,1.6980555555555554,1.6980555555555554,1
2012-02-01,-4252,-6047,ARG,trawlers,0.77097222222222228,0,1
2012-02-01,-4763,-6410,ARG,trawlers,4.0955555555555554,0,1
2012-02-01,-4763,-6323,ARG,purse_seines,1.5581944444444442,0,1
2012-02-01,-4763,-6334,ARG,purse_seines,0.75416666666666665,0,1
2012-02-01,-4763,-6335,ARG,purse_seines,3.7994444444444442,0,1
2012-02-01,-4763,-6327,ARG,trawlers,0.79194444444444445,0.79194444444444445,1
2012-02-01,-4763,-6342,ARG,trawlers,2.18375,0,1
2012-02-01,-4763,-6328,ARG,trawlers,0.76944444444444438,0.76944444444444438,1
2012-02-01,-4763,-6359,ARG,trawlers,0.79680555555555554,0,1
2012-02-01,-4763,-6364,ARG,trawlers,1.5234722222222223,0,1
2012-02-01,-4763,-6311,ARG,trawlers,5.6527777777777786,5.6527777777777786,1
2012-02-01,-4763,-6357,ARG,trawlers,0.80819444444444444,0,1
2012-02-01,-4763,-6375,ARG,drifting_longlines,4.6254166666666663,4.6254166666666663,1
2012-02-01,-4763,-6373,ARG,drifting_longlines,0.80013888888888884,0.80013888888888884,1
2012-02-01,-4507,-6211,ARG,trawlers,4.5244444444444447,0,1
2012-02-01,-4507,-6212,ARG,trawlers,1.6173611111111112,0,1
2012-02-01,-4251,-6046,ARG,trawlers,1.4611111111111112,0,1
2012-02-01,-4762,-6334,ARG,drifting_longlines,5.35,5.35,1
2012-02-01,-4762,-6335,ARG,trawlers,0.77222222222222214,0.77222222222222214,1
2012-02-01,-4762,-6336,ARG,trawlers,3.802083333333333,3.802083333333333,1
2012-02-01,-4762,-6348,ARG,trawlers,4.5155555555555553,0,1
2012-02-01,-4761,-6380,ARG,trawlers,3.810138888888889,0,1
2012-02-01,-4761,-6372,ARG,trawlers,0.77625,0,1
2012-02-01,-4761,-6381,ARG,trawlers,0.79444444444444451,0,1
2012-02-01,-4761,-6326,ARG,drifting_longlines,1.5495833333333333,1.5495833333333333,1
2012-02-01,-4761,-6384,ARG,trawlers,0.79458333333333331,0,1
2012-02-01,-4761,-6377,ARG,trawlers,4.5916666666666668,0,1
2012-02-01,-4761,-6337,ARG,trawlers,3.8315277777777776,0,1
2012-02-01,-4761,-6383,ARG,trawlers,0.78888888888888886,0,1
