spp,id,x,y,dit,nBoats,effort,month
B,S590,-120.5,32.5,1.12E-06,0,0,7
B,S590,-119.5,32.5,1.12E-06,0,0,7
B,S590,-122.5,31.5,0.000792873,0,0,7
B,S590,-121.5,31.5,1.12E-06,0,0,7
B,S590,-123.5,30.5,0.000792873,0,0,7
B,S590,-124.5,29.5,1.12E-06,0,0,7
B,S590,-125.5,28.5,0.000792873,0,0,7
B,S590,-124.5,28.5,0.000792873,0,0,7
B,S590,-125.5,27.5,1.12E-06,0,0,7
B,S590,-126.5,26.5,0.000792873,0,0,7
B,S590,-127.5,25.5,0.000792873,0,0,7
B,S590,-128.5,24.5,0.000792873,0,0,7
B,S590,-127.5,24.5,1.12E-06,0,0,7
B,S590,-128.5,23.5,1.12E-06,0,0,7
B,S590,-129.5,22.5,0.000792873,0,0,7
B,S478,-66.5,41.5,0.000792873,60.60864639,0.04805494,8
B,S478,-65.5,41.5,1.12E-06,48.93409729,5.48E-05,8
B,S478,-70.5,40.5,0.000792873,113.7709045,0.090205843,8
B,S478,-68.5,40.5,0.000792873,38.47628403,0.030506795,8
B,S478,-67.5,40.5,1.12E-06,58.11461639,6.51E-05,8
B,S478,-66.5,40.5,1.12E-06,53.50819397,5.99E-05,8
B,S478,-70.5,39.5,1.12E-06,165.240387,0.000184987,8
B,S478,-70.5,38.5,1.12E-06,49.53787231,5.55E-05,8
B,S478,-70.5,37.5,0.000792873,1.116250038,0.000885044,8
B,S478,-70.5,36.5,0.000792873,0,0,8
B,S478,-69.5,35.5,0.000792873,0,0,8
B,S478,-68.5,34.5,1.12E-06,0,0,8
B,S478,-68.5,33.5,0.000792873,0,0,8
B,S478,-67.5,33.5,1.12E-06,0,0,8
B,S478,-69.5,32.5,0.000792873,0,0,8
B,S478,-69.5,31.5,1.12E-06,0,0,8
B,S590,-129.5,22.5,0.000792873,0,0,8
B,S590,-130.5,21.5,1.12E-06,0,0,8
B,S590,-129.5,21.5,1.12E-06,0,0,8
B,S590,-130.5,20.5,1.12E-06,0,0,8
B,S590,-133.5,19.5,1.12E-06,0,0,8
B,S590,-131.5,19.5,0.000792873,0,0,8
B,S590,-134.5,18.5,1.12E-06,0,0,8
B,S590,-133.5,18.5,1.12E-06,0,0,8
B,S590,-132.5,18.5,0.000792873,0,0,8
B,S590,-133.5,17.5,1.12E-06,0,0,8
B,S590,-132.5,17.5,0.000792873,0,0,8
B,S478,-67.5,40.5,1.12E-06,35.98444748,4.03E-05,9
B,S478,-66.5,40.5,1.12E-06,77.70187378,8.70E-05,9
B,S590,-125.5,34.5,0.000792873,0,0,9
B,S590,-124.5,34.5,1.12E-06,0,0,9
B,S590,-124.5,33.5,0.000792873,0,0,9
B,S590,-123.5,33.5,1.12E-06,0,0,9
B,S590,-124.5,32.5,1.12E-06,0,0,9
B,S590,-123.5,32.5,0.000792873,0,0,9
B,S590,-124.5,31.5,0.000792873,0,0,9
B,S590,-124.5,30.5,1.12E-06,0,0,9
B,S590,-125.5,29.5,0.000792873,0,0,9
B,S590,-124.5,29.5,0.000792873,0,0,9
B,S590,-126.5,28.5,1.12E-06,0,0,9
B,S590,-127.5,27.5,1.12E-06,0,0,9
B,S590,-126.5,27.5,1.12E-06,0,0,9
B,S590,-127.5,26.5,1.12E-06,0,0,9
B,S590,-128.5,25.5,1.12E-06,0,0,9
B,S590,-127.5,25.5,1.12E-06,0,0,9
B,S590,-129.5,24.5,1.12E-06,0,0,9
B,S590,-131.5,23.5,0.000792873,93.85805511,0.074417488,9
B,S590,-130.5,23.5,1.12E-06,0,0,9
B,S590,-131.5,22.5,1.12E-06,21.75222206,2.44E-05,9
B,S590,-132.5,21.5,1.12E-06,0,0,9
B,S590,-133.5,20.5,1.12E-06,0,0,9
B,S590,-132.5,20.5,0.000792873,0,0,9
B,S590,-133.5,19.5,0.000792873,0,0,9
B,S478,-60.5,43.5,1.12E-06,176.0301819,0.000197067,10
B,S478,-59.5,43.5,1.12E-06,168.7374573,0.000188902,10
B,S478,-58.5,43.5,0.000792873,19.82907486,0.015721932,10
B,S478,-61.5,42.5,1.12E-06,17.13537025,1.92E-05,10
B,S478,-66.5,41.5,0.000792873,15.8801384,0.012590928,10
B,S478,-65.5,41.5,0.000792873,33.5913887,0.026633695,10
B,S478,-64.5,41.5,0.000792873,0,0,10
B,S478,-63.5,41.5,1.12E-06,0,0,10
B,S478,-62.5,41.5,0.000792873,0,0,10
B,S478,-68.5,40.5,1.12E-06,25.1870842,2.82E-05,10
B,S478,-67.5,40.5,0.000792873,40.62403107,0.032209685,10
B,S478,-66.5,40.5,0.000792873,118.7190247,0.094129072,10
B,S590,-124.5,35.5,0.000792873,0,0,10
B,S590,-123.5,35.5,0.000792873,0,0,10
B,S590,-125.5,34.5,1.12E-06,0,0,10
B,S590,-124.5,34.5,1.12E-06,0,0,10
B,S590,-123.5,34.5,1.12E-06,0,0,10
B,S590,-124.5,33.5,0.000792873,0,0,10
B,S590,-123.5,33.5,1.12E-06,0,0,10
B,S478,-58.5,43.5,0.000792873,22.5984726,0.017917712,11
B,S478,-57.5,43.5,1.12E-06,0,0,11
B,S478,-56.5,43.5,0.000792873,0,0,11
B,S478,-58.5,42.5,1.12E-06,0,0,11
B,S478,-57.5,42.5,1.12E-06,0,0,11
B,S478,-56.5,42.5,0.000792873,0,0,11
B,S478,-55.5,42.5,0.000792873,164.9012756,0.130745717,11
B,S590,-119.5,34.5,0.000792873,0,0,11
B,S478,-55.5,43.5,1.12E-06,0,0,12
B,S478,-54.5,43.5,1.12E-06,0,0,12
B,S478,-54.5,42.5,1.12E-06,10.77819443,1.21E-05,12
B,S478,-57.5,41.5,1.12E-06,0,0,12
B,S478,-56.5,41.5,0.000792873,3.40958333,0.002703365,12
B,S478,-55.5,41.5,1.12E-06,100.7416687,0.000112781,12
B,S478,-57.5,40.5,0.000792873,0,0,12
B,S478,-56.5,40.5,1.12E-06,7.083055496,7.93E-06,12
B,S478,-55.5,40.5,1.12E-06,117.2270126,0.000131236,12
B,S590,-119.5,34.5,0.000792873,0,0,12
B,S590,-122.5,28.5,0.000792873,0,0,12
B,S590,-122.5,27.5,1.12E-06,0,0,12
