ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S80,Blue shark,Prionace glauca,186,F,SPOT,15/08/2006,50.03,-4.09,8,48.9,-6.17,,ATL_N
S81,Blue shark,Prionace glauca,170,F,SPOT,18/08/2006,50.02,-4,14,50.84,-7.59,,ATL_N
S82,Blue shark,Prionace glauca,160,F,SPOT,31/08/2007,50,-4.26,20,50.41,-7.94,,ATL_N
S83,Blue shark,Prionace glauca,145,F,SPOT,01/06/2009,36.98,-8.65,23,36.45,-8.77,,ATL_N
S84,Blue shark,Prionace glauca,220,M,SPOT,01/06/2009,36.98,-8.63,102,35.73,-6.48,,ATL_N
S85,Blue shark,Prionace glauca,85,M,SPOT,10/10/2006,36.99,-8.64,23,37.92,-9.12,,ATL_N
S86,Blue shark,Prionace glauca,130,F,SPOT,06/06/2008,37.01,-8.67,76,46.91,-7.52,,ATL_N
S87,Blue shark,Prionace glauca,130,M,SPOT,13/06/2008,37.02,-8.64,112,39.27,-10.58,,ATL_N
S88,Blue shark,Prionace glauca,125,F,SPOT,26/05/2009,36.99,-8.69,22,36.08,-6.74,,ATL_N
S89,Blue shark,Prionace glauca,190,F,SPOT,30/08/2011,31.07,-36.58,18,33.95,-36.12,,ATL_N
S90,Blue shark,Prionace glauca,220,F,SPOT,02/09/2011,34.02,-36.44,33,29.62,-37.11,,ATL_N
S91,Blue shark,Prionace glauca,260,M,PSAT,21/08/2011,42.32,-28,127,33.68,-38.78,,ATL_N
S92,Blue shark,Prionace glauca,250,M,PSAT,22/08/2011,42.38,-29.48,116,23.66,-27.51,,ATL_N
S93,Blue shark,Prionace glauca,240,M,PSAT,26/08/2011,33.55,-36.47,120,13.62,-50.04,,ATL_N
S94,Blue shark,Prionace glauca,200,M,PSAT,26/08/2011,33.38,-36.49,119,29.04,-43.77,,ATL_N
S95,Blue shark,Prionace glauca,185,M,PSAT,26/06/2010,42.32,-44.73,88,49.91,-43.16,,ATL_N
S96,Blue shark,Prionace glauca,192,F,PSAT,27/06/2010,42.67,-45.7,87,31.53,-44.56,,ATL_N
S97,Blue shark,Prionace glauca,125,F,PSAT,26/05/2009,36.99,-8.69,107,35.79,-8.51,,ATL_N
